西方哲学流派及其反思,MARX026614
并行计算,XJCO3221
数字通讯,XJEL3430
竞赛类英语演讲,SoFL010415
电子工艺实习,9990613
牵引电机与电器（含实验）,3273476
法语报刊阅读II,0871075
信号分析与处理,3273615
应用物理专业实验,3273125
软件质量保证与测试,3244238
人口资源环境热点问题,2672015
风景资源学,0153921
光纤通信,0471049
形势与政策4,7001153
报刊阅读,SoFL006812
计算机联锁,3273341
矿物岩石学 Ⅱ,08020010
电力电子技术在电力系统中的应用,0383009
视频广告创作1,2571119
遇见.中外艺术之旅,CIVE022714
数字信号处理,3273414
毕业设计（论文）-德语,0873151
复变函数与积分变换,1271007
混凝土桥,0173050
油画人体,13040015
初级德语听力Ⅱ,SoFL014412
社会实践与社会调查,9990108
生物物理,3273066
工程热力学与传热学,6341587
电力电子系统建模与仿真,0383010
无损检测技术,2049270
机电液一体化技术导论,MECE003414
毕业设计（论文）-测绘,2173076
毕业设计（论文）-汉语言文学,0773045
礼仪与文化,SHUM021414
电子技术课程设计,0471052
工程英语Ⅱ,0173252
广告策划,2571046
建筑材料A,0121000
城乡规划方法,0971080
线路基础,0220300
景观植物应用,0971053
茶文化与品位生活,SLSE016415
中国现当代文学,SoFL025212
城市轨道交通地下工程设计与施工,0173037
路基工程A,3273657
日本文化及礼仪,8040200
摄影基础,2573002
工商管理类新生研讨课,SoEM004214
电机学B,0371093
认识实习,9990995
创新：方法、科技与商业的碰撞,MYSC000815
工程力学A,6341490
毕业设计（论文）-自动化,0473109
软件工程实践,1571038
项目管理（物流）,0200385
“一带一路”沿线国家国情之俄罗斯,SoFL032114
电磁兼容理论及应用,3273343
国际风俗礼仪,0873142
体育健康课程Ⅱ,PHYE000611
机器人控制（含实验）,3273080
企业家精神与管理,SoEM016314
第二语言习得入门,3273671
区域规划概论,5050010
化工原理实验,081P0117
器乐主修8,2571169
货物运输组织实验,7772013
世界建筑装饰风格与流派,2571199
商务口译Ⅱ,3273372
市政学,0773029
构造地质学实验,0174001
生产与制造,0281049
集成光电子学,3273013
现代西方文艺思潮,3273674
科技活动,3273572
英语口语MIV,3271009
计算机辅助设计II,7047658
比较文学专题研究,3273789
材料力学AⅠ,6322010
毕业设计（论文）-经济学,0673147
药品与生命的奥秘,SLSE015914
建筑力学2,0152370
信息论与编码,3273073
建筑设计A4-1,0973053
毕业设计（论文）-软件,0473114
电工与电子技术基础A,0371073
信息隐藏技术,0473035
数学分析Ⅱ,MATH002512
国际企业管理,0673151
嵌入式Linux实验,0474010
电世界名人堂,ELEC018014
工程测量AⅡ,0320120
基因工程,1671016
综合课程设计,3273602
机械工程制图综合实践,3273540
人机工程学,7047635
形势与政策7,7001156
高速铁路工程（MOOCS）,3273893
视阅口译,0871202
XJEL3875 Support,XJEL3???
经典交响乐赏析,SHUM022114
心理测量学,6773031
纳米材料和纳米技术（双语）,3273847
社会学概论A,SPAL009012
制造技术,2049230
中药分析实验,6200318
电机及控制,3271052
中国园林文化,SoAD027014
工程训练A,MECE024113
应用统计,MATH002112
路基工程B,3273659
广告摄影II,3273232
中外神话与民俗,0873043
交通管理与控制实验,0574005
电视节目策划,0773041
电子政务,7047719
艺术文论阅读与写作,2573088
保险学原理,3273613
供应链管理,0571038
工程测量A1,2171032
拓扑学基础,6041929
高等代数Ⅱ,MATH002712
工程力学,3273185
数据库原理与设计实验,3273831
公民与法律,MARX026514
铁二院3+1系列讲座,0173268
数据挖掘,XJCO2121
工程训练C,ENTC000213
国际政治概论（双语）,2971001
地方政府学（实验课）,0774005
社会保障概论,2671008
认识实习,9990999
管理会计学,3273608
二十一世纪的制造技术,MECE004214
工程电磁场B,0173208
生命与材料,MASE012314
跨文化交际与翻译,SoFL008012
法律意识与法律人生,SPAL013314
健康心理学,6773058
毕业设计（论文）-广告学,0773044
毕业设计（论文）-电科（微电）,0473112
战略管理,2671029
飞行器总体设计与系统工程,1173044
轨道工程A,3273658
物流系统规划,0244558
博弈论,0673160
软件工程项目,XJCO2913
材料成型认识实习,1086002
思考学习,MYSC002115
计算机网络与通信,3273491
通信电路（含实验）,0383030
环境流体力学,2173072
交通运输事故调查与案例分析,0571079
高分子化学,6231254
毕业设计（论文）-国贸,0673148
建筑物理实验,0984001
数据库原理与设计B,0473098
交际与文化视听说,0872024
材料科学基础AⅠ,1071013
艺术市场,2571097
法语初级口语交际Ⅱ,SoFL017712
认识实习,SoEM003413
流行文化品鉴,MYSC002215
信息检索,SPAL008712
重唱,0773037
声乐主修Ⅱ,SHUM012412
基础天文学,PHYS009514
毕业设计（论文）-电子,0373020
数值计算C,1571001
日语二外Ⅰ,SoFL032815
高速铁路桥梁与隧道工程（MOOCS）,0173202
微机与接口技术B,2050983
编校实践,SHUM005213
交通运输与铁路法理论与实践,4006521
日语跨文化交际2,0871163
中国政治思想史,SPAL006212
毕业设计（论文）-交控,0473110
混凝土结构设计原理,0171033
毕业设计（论文）-计算机,0473113
生物技术制药,1673054
音乐教学法B,2573103
环境工程微生物学,4040609
体育Ⅱ,PHYE000211
建筑施工技术,0173157
创新心理与潜能开发,07010016
对外汉语教学实践Ⅰ,0873198
聚合物表面与界面,1071044
英语听力Ⅱ,SoFL006412
工程伦理,SHUM021214
电力系统继电保护原理（含实验）,3273458
毕业实习,9993001
毕业设计（论文）,1071141
矿床地球化学,2173091
毕业实习与毕业设计,0153350
机械原理,2023500
茶与中国,MYSC001815
材料力学C,1173018
证券投资分析,5042700
构造地质学,0171009
信号与系统A,3122400
物理2：热学和电磁学,XJFY0210
流体力学A,6330700
现代通信原理实验,3133100
计算机组成原理C,0471006
可持续环境与设计,SoAD014815
财务管理,8400031
城市地理学,0153872
综合英语AⅣ,0873108
综合化学实验,MASE012612
物理化学实验B,SLSE002213
工程英语写作与笔译,3273170
高等化学,1073027
中国历史文物与考古,SHUM022514
野外综合实习,SLSE014913
机电一体化和测量系统,XJME2650
人力资源管理概论,3273534
机械设计基础C,2021100
矿产综合勘查技术,2173089
专业实验I,1384001
电磁场与电磁波（双语）,3273586
工程地质综合实习,2171066
日语多媒体视听,0871242
数学文化欣赏,MATH011814
律师与公证,7032700
毕业设计（论文）-产品,0973044
互联网搜索引擎,3273100
会计电算化,0672004
制药工艺学,1673022
公平：让团队决策更有效,TRAL022514
现代汉语语法分析,2573040
悠然见君子,MYSC002715
英语说明文读写,SoFL021812
模型基础,7047638
器乐主修4,2571167
外国传播史,2583031
网络金融,0673107
物流中心规划与设计,2873009
文学文献经典阅读,SHUM004913
测控技术导论,MECE004314
社会实践与社会调查,9990563
货物运输组织课程设计,0583016
城轨监控技术,0373024
经济法学,5020900
可穿戴医疗设备,MASE005314
数据挖掘算法,1673064
电路与电子技术基础,0371001
